title,description,identifier,licence,keywords,issued,corrected date,modified,publisher.name,publisher.mbox,ACC Contact,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.0.title,distribution.0.description,distribution.1.downloadURL,distribution.1.format,distribution.1.size,distribution.1.title,distribution.1.description,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.2.title,distribution.2.description,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.3.title,distribution.3.description,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.4.title,distribution.4.description
ACC Falls Data 2007-2019,"ACC claims relating to accidents caused by an action categorized as falling (i.e. slipping, tripping, misjudging a step, etc.). OIA: 51599.  The information provided is based on the following criteria/considerations.
The data has been extracted based on the following criteria:
The claim has an accident cause equal to one of the following:
- Loss Balance/Personal Contrl
- Loss of Consciousness/Sleep
- Misjudgement of Support
- Slipping, Skidding on Foo
- Something Giving way Underfoot
- Tripping or Stumbling
The claim was lodged or active in the period between 1 January 2007 and 30 November 2019.  Data were extracted on 1 December 2019.",,https://creativecommons.org/licenses/by/4.0,"ACC, Fall, Slips, Trips, falls",01-12-2019,01-12-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-01-2007/30-11-2019,,https://catalogue.data.govt.nz/dataset/b02de5a8-ee54-4bd0-99ef-13a70f0d93e2/resource/3f6d81aa-d2ea-47cc-97e9-d92bf302f935/download/51599-response.xlsm,XLSM,,Falls Data 2007-2019,,,,,,,,,,,,,,,,,,,,,
ACC Falls data 2011-2018,"ACC claims relating to accidents caused by an action categorized as falling (i.e. slipping, tripping, misjudging a step, etc.).  The information provided is based on the following criteria/considerations.
The data has been extracted based on the following criteria:
The claim has an accident cause equal to one of the following:
- Loss Balance/Personal Contrl
- Loss of Consciousness/Sleep
- Misjudgement of Support
- Slipping, Skidding on Foo
- Something Giving way Underfoot
- Tripping or Stumbling
The claim was lodged or active in the period between 1 July 2011 and 30 June 2018. Data were extracted on 17 September 2018 and may differ if re-run at a later date.",,https://creativecommons.org/licenses/by/4.0,"ACC, Fall, Slips, Trips, falls",17-09-2018,,3-10-2018,ACC,analytics@acc.co.nz,Damian Lawler,"Analytics & Reporting, ACC",,analytics@acc.co.nz,https://www.acc.co.nz/about-us/statistics/?smooth-scroll=content-after-navs,Annual,Injury,1-07-2011/30-06-2018,,https://catalogue.data.govt.nz/dataset/39b2efb2-eed7-4b1a-b691-00e8899bbe0d/resource/8f70c6b9-33ad-4a6b-908f-e7c3cfbd82f8/download/data-publication-falls.xlsx,.xlsx,78KB,Falls Data,Falls data,https://catalogue.data.govt.nz/dataset/39b2efb2-eed7-4b1a-b691-00e8899bbe0d/resource/c66f2bd6-acf5-4fec-94e5-de1a9c40f8d6/download/46061-new-falls-long.csv,CSV,,"New ""Falls"" claims",4.44MB,https://catalogue.data.govt.nz/dataset/39b2efb2-eed7-4b1a-b691-00e8899bbe0d/resource/8ac43157-06d0-4778-a8a0-93fb8843527f/download/46061-active-falls-long.csv,CSV,5.0MB,"Active ""Falls"" claims",,,,,,,,,,,
ACC official review outcome statistics,Number of ACC decisions that were contested by patients under official review by percentage of contested cases that resulted in decisions being made by an independent reviewer for or against the view of ACC.,,https://creativecommons.org/licenses/by/4.0,,27/01/2020,27-01-2020,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,,Injury,,,https://catalogue.data.govt.nz/dataset/cbf716e8-3a07-4410-8733-5e7215615698/resource/7917bcce-f9df-4f3b-b6ed-d639989f52bc/download/gov-003216-response.pdf,PDF,457KB,ACC official review outcome statistics,,,,,,,,,,,,,,,,,,,,,
ACC Treatment Injury Data,"ACC claims relating to personal injury caused by treatment from, or at the direction of, a registered health professional.
This includes:
- diagnosis, advice and interventions 
- failure to provide treatment or failure to provide treatment in a timely manner. The injury must have been caused by treatment; but not be a necessary part, or ordinary consequence, of the treatment.",,https://creativecommons.org/licenses/by/4.0,"Medical Misadventure, Treament Injury",26-09-2019,26-09-2019,,ACC,analytics@acc.co.nz,,Treatment Safety,,treatmentinjury@acc.co.nz,,Annual,Injury,2010/2018,,https://catalogue.data.govt.nz/dataset/2e487b2d-3641-49c1-a683-3bd8d4d10a36/resource/a903ed48-5be2-4021-bbd0-6d75aaa52029/download/active-treatment-injury-claims.csv,CSV,,Active Treatment Injury Data,,https://catalogue.data.govt.nz/dataset/2e487b2d-3641-49c1-a683-3bd8d4d10a36/resource/b40daa8b-76b6-4810-84e8-d3413feac1e4/download/new-treatment-injury-claims.csv,CSV,,New Treatment Injury Data,,https://catalogue.data.govt.nz/dataset/2e487b2d-3641-49c1-a683-3bd8d4d10a36/resource/2667c8ef-5298-4c18-bbe5-8c7da5f6bea8/download/treatment-injury-claims-dataset.xlsx,XLSX,,Treatment Injury Data,,,,,,,,,,,
Accident Compensation Corporation Chief Executive expenses,Details of the expenses of the Accident Compensation Corporation's Chief Executive.,,https://creativecommons.org/licenses/by/4.0,"ACC, CE Expenses, Chief Executive, Claims, Compensation, Open government, Preventing injuries",17-03-2017,17-03-2017,31-07-2019,ACC,website.management@acc.co.nz,Mark Williamson,Government Engagement & Support,,website.management@acc.co.nz,https://www.acc.co.nz/about-us/corporate/,Annual,Injury,,,https://www.acc.co.nz/assets/corporate-documents/bf50627086/ce-expenses-july-2018-june-2019.xlsx,XLSX,,1 July 2018 to 30 June 2019,Chief Executive's expenses- Scott Pickering,https://www.acc.co.nz/assets/corporate-documents/ce-expenses-july-2017-june-2018.xlsx,XLSX,26KB,1 July 2017 to 30 June 2018,Chief Executive's expenses - 1 July 2017 to 30 June 2018 [Scott Pickering],https://catalogue.data.govt.nz/dataset/bc4dc847-db70-4653-87f9-2244877d6568/resource/b726dc7a-d4e0-487a-8b37-551859fa53c2/download/chief-executive-expense-report-1-july-2016-30-june-2017-scott-pickering.xlsx,XLSX,38KB,1 July 2016 to 30 June 2017,Chief Executive's expenses - 1 July 2016 to 30 June 2017 [Scott Pickering],https://www.acc.co.nz/assets/corporate-documents/ce-pickering-expenses-january-june-2016.xlsx,XLSX,27KB,1 January 2016 to 30 June 2016,Chief Executive's expenses - 1 January 2016 to 30 June 2016 [Scott Pickering],https://www.acc.co.nz/assets/corporate-documents/e-pickering-expenses-july-december-2015.xlsx,XLSX,27KB,1 July 2015 to 31 December 2015,Chief Executive's expenses - 1 July 2015 to 31 December 2015 [Scott Pickering]
Accidents in the workplace caused by fatigue,Accidents in the workplace caused by fatigue. OIA: 52232,,https://creativecommons.org/licenses/by/4.0,"accidents, workplace, fatigue, tiredness",04-05-2020,04-05-2020,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-01-2010/04-05-2020,,https://catalogue.data.govt.nz/dataset/4b8f2b69-52fb-4ffa-a02c-239d7dc6e852/resource/4658b7c5-a73c-4630-9156-b5da7fc15e09/download/52232-response.xlsx,XLSX,,Workplace accidents data,,,,,,,,,,,,,,,,,,,,,
All Terrain Vehicle (ATV) Injuries,ACC claims relating to all terrain vehicle (ATV) injuries,,https://creativecommons.org/licenses/by/4.0,"all terrain injuries, atv, claims",13-05-2020,13-05-2020,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-01-2010/31-12-2019,,https://catalogue.data.govt.nz/dataset/10be7aae-5328-4072-889b-9c52a2ef68c4/resource/c058c5b1-9615-4ed7-80e5-0d6089b2ef19/download/52192-atv-injuries.xlsm,XLSM,,ATV injury claims,,,,,,,,,,,,,,,,,,,,,
Average expense per claim by injury type in last 12 months,Average Lifetime Cost Of Active Claims for the Last 12 Months (1 January 2019 - 31 December 2019). ACC response to a request at: https://www.data.govt.nz/datasetrequest/show/448,,https://creativecommons.org/licenses/by/4.0,"average lifetime cost of claims, injury",43874,13-02-2020,,ACC,,,Government Engagement & Support,,GovernmentServices@acc.co.nz,https://www.acc.co.nz/about-us/statistics/?smooth-scroll=content-after-navs,Irregular,Injury,01-01-2019/31-12-2019,,https://catalogue.data.govt.nz/dataset/556c3e7c-da10-4451-8cdb-ff46344bf197/resource/3c0a83c5-b553-4ba8-8149-dd91f5b8d5b8/download/gov-003217-response.pdf,PDF,387KB,GOV-003217 Response,,https://catalogue.data.govt.nz/dataset/556c3e7c-da10-4451-8cdb-ff46344bf197/resource/5b807992-56e6-4ba7-b2fd-9ac3f4b4e1b1/download/gov-003217-appendix-one.xlsx,XLSX,19KB,Cost Of Active Claims data,,,,,,,,,,,,,,,,
Count of sensitive claims,Number of sensitive claims lodged between 2014-2018. OIA: 49376,,https://creativecommons.org/licenses/by/4.0,"sensitive claims, issc",18-04-2019,18-04-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-07-2013/30-06-2018,,https://catalogue.data.govt.nz/dataset/16102e49-43be-4354-97e0-73787726b340/resource/42619488-b035-4348-9957-2e931691bd68/download/49376-external-doc.pdf,PDF,,Number of sensitive claims,,,,,,,,,,,,,,,,,,,,,
Hot water bottle injuries,ACC claims relating to hot water injuries,,https://creativecommons.org/licenses/by/4.0,"hot water, hotties, hotty, injury, claims",02-07-2019,02-07-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-01-2014/23-06-2019,,https://catalogue.data.govt.nz/dataset/0f6d3b12-be60-4126-9bcc-22dc2ad380f6/resource/9f797cd4-1145-41d1-91f9-55ef6a6cbb68/download/gov-000318-response.pdf,PDF,225KB,Hot water injury claims,,,,,,,,,,,,,,,,,,,,,
